MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LandSlope,Condition1,BldgType,OverallQual,OverallCond,YearBuilt,CentralAir,GarageArea,PoolArea,YrSold,SaleType,SalePrice
60,6.0,65.0,8450,2.0,1.0,1.0,1.0,3.0,1.0,7,5,2003,1.0,548,0,2008,2.0,208500
20,6.0,80.0,9600,2.0,1.0,1.0,1.0,2.0,1.0,6,8,1976,1.0,460,0,2007,2.0,181500
60,6.0,68.0,11250,2.0,2.0,1.0,1.0,3.0,1.0,7,5,2001,1.0,608,0,2008,2.0,223500
70,6.0,60.0,9550,2.0,2.0,1.0,1.0,3.0,1.0,7,5,1915,1.0,642,0,2006,2.0,140000
60,6.0,84.0,14260,2.0,2.0,1.0,1.0,3.0,1.0,8,5,2000,1.0,836,0,2008,2.0,250000
50,6.0,85.0,14115,2.0,2.0,1.0,1.0,3.0,1.0,5,5,1993,1.0,480,0,2009,2.0,143000
20,6.0,75.0,10084,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2004,1.0,636,0,2007,2.0,307000
50,8.0,51.0,6120,2.0,1.0,1.0,1.0,1.0,1.0,7,5,1931,1.0,468,0,2008,2.0,129900
190,6.0,50.0,7420,2.0,1.0,1.0,1.0,1.0,2.0,5,6,1939,1.0,205,0,2008,2.0,118000
20,6.0,70.0,11200,2.0,1.0,1.0,1.0,3.0,1.0,5,5,1965,1.0,384,0,2008,2.0,129500
60,6.0,85.0,11924,2.0,2.0,1.0,1.0,3.0,1.0,9,5,2005,1.0,736,0,2006,3.0,345000
20,6.0,91.0,10652,2.0,2.0,1.0,1.0,3.0,1.0,7,5,2006,1.0,840,0,2007,3.0,279500
45,8.0,51.0,6120,2.0,1.0,1.0,1.0,3.0,1.0,7,8,1929,1.0,576,0,2007,2.0,132000
90,6.0,72.0,10791,2.0,1.0,1.0,1.0,3.0,3.0,4,5,1967,1.0,516,0,2006,2.0,90000
20,6.0,66.0,13695,2.0,1.0,1.0,1.0,9.0,1.0,5,5,2004,1.0,576,0,2008,2.0,159000
20,6.0,70.0,7560,2.0,1.0,1.0,1.0,3.0,1.0,5,6,1958,1.0,294,0,2009,4.0,139000
60,6.0,101.0,14215,2.0,2.0,1.0,1.0,3.0,1.0,8,5,2005,1.0,853,0,2006,3.0,325300
45,8.0,57.0,7449,2.0,1.0,2.0,1.0,3.0,1.0,7,7,1930,1.0,280,0,2007,2.0,139400
